,TAXON_GRP,COL_DATE,X,Y,UTM_ZONE,UTM_NORTH,UTM_EAST
0,Fish,1996-06-18,-126.49753950021493,49.80320059714053,9,5519755,680066
1,Fish,1997-06-19,-126.49753950021493,49.80320059714053,9,5519755,680066
2,Fish,2001-06-23,-126.49753950021493,49.80320059714053,9,5519755,680066
3,Algae,1989,-126.07516790083632,49.82401899678155,9,5523169,710363
4,Fish,2011-04-20,-126.98527756349723,49.88754981724404,9,5528074,644721
5,Fish,1996-06-18,-126.64398075674751,49.91208254008886,9,5531517,669149
6,Fish,1997-06-19,-126.64398075674751,49.91208254008886,9,5531517,669149
7,Fish,1998-06-20,-126.64398075674751,49.91208254008886,9,5531517,669149
8,Fish,2002-06-24,-126.64398075674751,49.91208254008886,9,5531517,669149
9,Fish,1989-06-11,-126.6583808965419,49.924046052816074,9,5532815,668073
10,Fish,1996-06-18,-126.6583808965419,49.924046052816074,9,5532815,668073
11,Fish,1997-06-19,-126.6583808965419,49.924046052816074,9,5532815,668073
12,Fish,1998-06-20,-126.6583808965419,49.924046052816074,9,5532815,668073
13,Plant,1965-07-04,-127.25616050788399,49.963339127760676,9,5536012,625068
14,Fish,1994-06-16,-126.85155933256802,49.98483912449871,9,5539157,654015
15,Fish,1995-06-17,-126.85155933256802,49.98483912449871,9,5539157,654015
16,Fish,1996-06-18,-126.85155933256802,49.98483912449871,9,5539157,654015
17,Fish,1997-06-19,-126.85155933256802,49.98483912449871,9,5539157,654015
18,Fish,1998-06-20,-126.85155933256802,49.98483912449871,9,5539157,654015
19,Fish,1999-06-21,-126.85155933256802,49.98483912449871,9,5539157,654015
20,Fish,1995-06-17,-127.0990101936702,50.06323841588028,9,5547393,636055
21,Fish,1996-06-18,-127.0990101936702,50.06323841588028,9,5547393,636055
22,Fish,1997-06-19,-126.50894064918924,50.31578458602933,9,5576710,677345
23,Fish,1998-06-20,-126.50894064918924,50.31578458602933,9,5576710,677345
24,Fish,1998-06-20,-126.50894064918924,50.31578458602933,9,5576710,677345
25,Fish,1999-06-21,-126.50894064918924,50.31578458602933,9,5576710,677345
26,Fish,2000-06-22,-126.50894064918924,50.31578458602933,9,5576710,677345
27,Plant,1997-07-20,-132.06491511862313,53.074755871895675,8,5884614,696610
28,Plant,1939-08-23,-132.08342869102793,53.2539811984236,8,5904494,694558
29,Plant,1956-07-06,-132.08342869102793,53.2539811984236,8,5904494,694558
30,Plant,1957-08-10,-132.29133471564495,53.60207451470341,8,5942661,679221
31,Plant,1957-05-29,-132.31210010910777,53.6212571069044,8,5944742,677767
32,Amphibian,2002-07-03,-132.20723187836788,53.63990672644414,8,5947083,684619
33,Amphibian,1969-08-01,-132.04930086301178,53.69660157434455,8,5953810,694795
34,Amphibian,1972-06-17,-132.04930086301178,53.69660157434455,8,5953810,694795
35,Amphibian,1972-06-19,-132.04930086301178,53.69660157434455,8,5953810,694795
36,Fish,2007-02-09,-133.56908472371953,59.40049368129639,8,6585522,581249
37,Plant,2008-08-10,-133.58036579177877,59.408662409339506,8,6586418,580589
38,Plant,2008-08-10,-133.6291626982271,59.50607838966402,8,6597206,577595
39,Fish,1992-06-14,-126.08286686606522,49.31766310055039,9,5466864,711993
40,Fish,1993-06-15,-126.08286686606522,49.31766310055039,9,5466864,711993
41,Fish,1993-06-15,-126.05851269678772,49.370061278173104,9,5472757,713535
42,Fish,1994-06-16,-126.05851269678772,49.370061278173104,9,5472757,713535
43,Fish,1993-06-15,-126.08513347906349,49.43689910173256,9,5480111,711316
44,Fish,1994-06-16,-126.08513347906349,49.43689910173256,9,5480111,711316
45,Fish,1996-06-18,-126.08513347906349,49.43689910173256,9,5480111,711316
46,Fish,1997-06-19,-126.08513347906349,49.43689910173256,9,5480111,711316
47,Fish,2001-06-23,-126.08513347906349,49.43689910173256,9,5480111,711316
48,Fish,2002-06-24,-126.08513347906349,49.43689910173256,9,5480111,711316
49,Algae,1992,-126.03718611699816,49.60772422785385,9,5499234,714044
50,Fish,1997-06-19,-126.05000963821828,49.61146115206792,9,5499613,713101
51,Fish,1998-06-20,-126.05000963821828,49.61146115206792,9,5499613,713101
52,Fish,1993-06-15,-126.11318907630108,49.68039553663111,9,5507098,708243
53,Fish,1995-06-17,-126.11318907630108,49.68039553663111,9,5507098,708243
54,Fish,1997-06-19,-126.11318907630108,49.68039553663111,9,5507098,708243
55,Fish,1998-06-20,-126.11318907630108,49.68039553663111,9,5507098,708243
56,Fish,2001-06-23,-126.11318907630108,49.68039553663111,9,5507098,708243
57,Fish,2002-06-24,-126.11318907630108,49.68039553663111,9,5507098,708243
58,Fish,1996-06-18,-126.38492083331059,49.75533407862969,9,5514710,688354
59,Fish,1997-06-19,-126.38492083331059,49.75533407862969,9,5514710,688354
60,Algae,1994,-126.0470386614267,49.77633627692398,9,5517948,712595
61,Fish,1996-06-18,-126.63839588278285,49.7782945300304,9,5516657,670018
62,Fish,1996-06-18,-126.44041038643203,49.793823040787906,9,5518851,684211
63,Fish,1997-06-19,-126.44041038643203,49.793823040787906,9,5518851,684211
64,Fish,1998-06-20,-126.44041038643203,49.793823040787906,9,5518851,684211
65,Fish,1996-06-18,-126.47361407298699,49.795527810844725,9,5518959,681816
66,Fish,1997-06-19,-126.47361407298699,49.795527810844725,9,5518959,681816
67,Fish,1998-06-20,-126.47361407298699,49.795527810844725,9,5518959,681816
68,Fish,1999,-126.458971119266,50.76653585371672,9,5626942,679185
69,Fish,1997-06-19,-126.45962551534662,50.766712805280704,9,5626960,679138
